timestamp,Tweet Volume,Total Sentiment Value,Weighted Sentiment,BTC Value
5/2/2020 6:45,4538,-0.237693244,-1078.651941,8805.54
5/2/2020 10:00,4658,-0.147182557,-685.5763505,8873.016667
5/2/2020 13:15,5590,-0.141780862,-792.5550186,8929.783333
5/2/2020 16:30,6038,-0.093696561,-565.7398353,8899.606667
5/2/2020 19:45,5028,-0.147069389,-739.4648879,8908.316667
5/2/2020 23:00,4913,-0.117697205,-578.2463682,9088.453333
5/3/2020 2:15,3557,-0.112331007,-399.5613919,9116.7
5/3/2020 5:30,4101,-0.167289939,-686.0560398,9031.923333
5/3/2020 8:45,4310,-0.126553499,-545.4455807,9066.746667
5/3/2020 12:00,5472,-0.093495392,-511.606785,8873.096667
5/3/2020 15:15,5701,-0.099193367,-565.5013853,8840.733333
5/3/2020 18:30,5418,-0.110339485,-597.8193297,8864.263333
5/3/2020 21:45,4706,-0.238069372,-1120.354465,8847.676667
5/4/2020 1:00,4054,-0.108626278,-440.370931,8729.786667
5/4/2020 4:15,4268,-0.075881088,-323.8604836,8624.156667
5/4/2020 7:30,4698,-0.092778214,-435.8720494,8651.716667
5/4/2020 10:45,5805,-0.179218607,-1040.364014,8760.27
5/4/2020 14:00,6978,-0.092303644,-644.0948278,8825.26
5/4/2020 17:15,6667,-0.077669878,-517.8250766,8829.966667
5/4/2020 20:30,5853,-0.124567611,-729.0942272,8883.106667
5/4/2020 23:45,4497,-0.147157089,-661.7654292,8882.935647
5/5/2020 3:00,4738,-0.086337931,-409.0691171,8882.764626
5/5/2020 6:15,5291,-0.083024598,-439.283148,8882.593606
5/5/2020 9:30,5757,-0.111847737,-643.9074219,8882.422585
5/5/2020 12:45,6785,-0.103870671,-704.7625027,8882.251565
5/5/2020 16:00,6917,-0.090131696,-623.4409412,8882.080545
5/5/2020 19:15,6328,-0.094940601,-600.7841231,8881.909524
5/5/2020 22:30,5252,-0.172665173,-906.8374886,8881.738504
5/6/2020 1:45,4222,-0.130875138,-552.5548326,8881.567483
5/6/2020 5:00,4712,-0.117687386,-554.5429628,8881.396463
5/6/2020 8:15,5709,-0.138705971,-791.8723884,8881.225443
5/6/2020 11:30,8286,-0.078942214,-654.1151852,8881.054422
5/6/2020 14:45,7960,-0.128813405,-1025.354704,8880.883402
5/6/2020 18:00,7106,-0.156492769,-1112.037617,8880.712381
5/6/2020 21:15,6192,-0.156633995,-969.877697,8880.541361
5/7/2020 0:30,4522,-0.164243474,-742.7089894,8880.37034
5/7/2020 3:45,4137,-0.155204727,-642.0819556,8880.19932
5/7/2020 7:00,5113,-0.17448009,-892.1167002,8880.0283
5/7/2020 10:15,7105,-0.120312432,-854.8198294,8879.857279
5/7/2020 13:30,9338,-0.077170239,-720.6156918,8879.686259
5/7/2020 16:45,13089,-0.050421963,-659.9730737,8879.515238
5/7/2020 20:00,7936,-0.105421803,-836.6274286,8879.344218
5/7/2020 23:15,9055,-0.082534455,-747.34949,8879.173198
5/8/2020 2:30,5515,-0.122637673,-676.3467666,8879.002177
5/8/2020 5:45,5423,-0.033804654,-183.3226386,8878.831157
5/8/2020 9:00,6614,-0.13936127,-921.7354398,8878.660136
5/8/2020 12:15,8485,-0.111265661,-944.0891336,8878.489116
5/8/2020 15:30,8537,-0.086782341,-740.8608451,8878.318096
5/8/2020 18:45,7402,-0.146183888,-1082.053139,8878.147075
5/8/2020 22:00,6169,-0.132176801,-815.3986854,8877.976055
5/9/2020 1:15,4523,-0.121955926,-551.6066533,8877.805034
5/9/2020 4:30,4605,-0.149486145,-688.3836977,8877.634014
5/9/2020 7:45,4931,-0.111189794,-548.2768742,8877.462994
5/9/2020 11:00,6127,-0.119539898,-732.420955,8877.291973
5/9/2020 14:15,7182,-0.119397537,-857.5131107,8877.120953
5/9/2020 17:30,6035,-0.11259376,-679.5033416,8876.949932
5/9/2020 20:45,5283,-0.138548215,-731.9502198,8876.778912
5/10/2020 0:00,10115,-0.130275108,-1317.732717,8876.607891
5/10/2020 3:15,5230,-0.169847492,-888.3023832,8876.436871
5/10/2020 6:30,5397,-0.108281974,-584.3978137,8876.265851
5/10/2020 9:45,5234,-0.173028613,-905.6317604,8876.09483
5/10/2020 13:00,7070,-0.106628933,-753.8665563,8875.92381
5/10/2020 16:15,7131,-0.091922488,-655.4992619,8875.752789
5/10/2020 19:30,6045,-0.16061179,-970.8982706,8875.581769
5/10/2020 22:45,4768,-0.128643557,-613.3724798,8875.410749
5/11/2020 2:00,4381,-0.249374495,-1092.509663,8875.239728
5/11/2020 5:15,4942,-0.126692098,-626.1123483,8875.068708
5/11/2020 8:30,5987,-0.094130041,-563.5565555,8874.897687
5/11/2020 11:45,10147,-0.011819859,-119.9361093,8874.726667
5/11/2020 15:00,11900,-0.063728041,-758.3636879,8543.003333
5/11/2020 18:15,16799,0.00548696,92.17544104,8566.48
5/11/2020 21:30,7242,-0.091861785,-665.263047,8578.366667
5/12/2020 0:45,5457,-0.121151617,-661.124374,8672.56
5/12/2020 4:00,4940,-0.072640218,-358.8426769,8711.683333
5/12/2020 7:15,5798,-0.044890799,-260.2768526,8733.663333
5/12/2020 10:30,7063,-0.094517358,-667.5760996,8747.866667
5/12/2020 13:45,7956,-0.105232338,-837.2284811,8858.676667
5/12/2020 17:00,7252,-0.123099956,-892.7208809,8843.476667
5/12/2020 20:15,6559,-0.124759943,-818.3004661,8802.306667
5/12/2020 23:30,2847,-0.080283657,-228.5675715,8885.74
5/13/2020 2:45,4636,-0.124844171,-578.7775768,8900.08
5/13/2020 6:00,4880,-0.124369599,-606.9236431,8891.946667
5/13/2020 9:15,5618,-0.115550549,-649.1629843,8982.046667
5/13/2020 12:30,7571,-0.10288492,-778.9417293,9107.743333
5/13/2020 15:45,7809,-0.099345845,-775.7917036,9096.233333
5/13/2020 19:00,8059,-0.112009272,-902.682723,9262.553333
5/13/2020 22:15,3183,-0.134336492,-427.593054,9317.41
5/14/2020 21:00,267,-0.230392157,-61.51470592,9740.296667
5/15/2020 16:30,4346,-0.134628347,-585.0947961,9413.326667
5/15/2020 19:45,9102,-0.085120412,-774.76599,9357.633333
5/15/2020 23:00,2653,-0.058863527,-156.1649371,9356.333333
5/16/2020 18:30,2928,-0.122316142,-358.1416638,9370.852307
5/16/2020 21:45,3645,-0.195487927,-712.5534939,9385.371282
5/17/2020 20:30,4061,-0.116556306,-473.3351587,9399.890256
5/17/2020 23:45,486,-0.085119048,-41.36785733,9414.409231
5/19/2020 21:15,345,-0.55,-189.75,9428.928205
5/20/2020 20:00,382,0.225,85.95,9443.447179
5/20/2020 23:15,1332,-0.180601843,-240.5616549,9457.966154
5/21/2020 22:00,287,-0.097385142,-27.94953575,9472.485128
5/22/2020 20:45,1542,-0.131646307,-202.9986054,9487.004102
5/23/2020 22:45,532,-0.247235459,-131.5292642,9501.523077
5/24/2020 21:30,279,-0.142857143,-39.8571429,9516.042051
5/25/2020 20:15,969,-0.125580701,-121.6876993,9530.561026
5/25/2020 23:30,739,-0.334632035,-247.2930739,9545.08
5/26/2020 22:15,805,-0.135486834,-109.0669014,9559.598974
5/27/2020 21:00,689,-0.250834642,-172.8250683,9574.117949
5/28/2020 23:00,363,-0.162730415,-59.07114065,9588.636923
5/29/2020 21:45,275,-0.515550239,-141.7763157,9603.155898
5/30/2020 23:45,420,-0.173612775,-72.9173655,9617.674872
5/31/2020 22:30,348,-0.318627451,-110.8823529,9632.193846
6/2/2020 23:15,417,-0.109860255,-45.81172634,9646.712821
6/3/2020 22:00,1203,-0.108116389,-130.064016,9661.231795
6/4/2020 20:45,722,-0.043978324,-31.75234993,9675.750769
6/5/2020 22:45,466,-0.134989953,-62.9053181,9690.269744
6/6/2020 21:30,1458,-0.272537422,-397.3595613,9704.788718
6/7/2020 23:30,312,-0.125022151,-39.00691111,9719.307693
6/8/2020 22:15,208,-0.011550285,-2.40245928,9733.826667
6/9/2020 21:00,346,0.075308642,26.05679013,9766.723333
6/10/2020 23:00,342,0.164285714,56.18571419,9905.736667
6/12/2020 20:30,1673,-0.131217643,-219.5271167,9459.24
6/12/2020 23:45,439,-0.209612573,-92.01991955,9439.55
6/13/2020 22:30,659,-0.209866243,-138.3018541,9446.953333
6/14/2020 21:15,759,-0.256317016,-194.5446151,9337.306667
6/15/2020 23:15,476,-0.503759398,-239.7894734,9411
6/16/2020 22:00,577,-0.204682843,-118.1020004,9496.44
6/17/2020 20:45,446,-0.065119707,-29.04338932,9436.706667
6/18/2020 22:45,410,-0.228114936,-93.52712376,9351.213333
6/19/2020 21:30,508,-0.18952726,-96.27984808,9317.79
6/20/2020 23:30,394,-0.128306878,-50.55290993,9373.68
6/21/2020 22:15,1216,-0.100361961,-122.0401446,9319.1
6/22/2020 21:00,327,0.2,65.4,9686.236667
6/23/2020 23:00,659,-0.254834224,-167.9357536,9631.686667
6/24/2020 21:45,491,-0.259058863,-127.1979017,9279.9
6/25/2020 23:45,379,-0.166666667,-63.16666679,9250.286667
6/26/2020 22:30,1113,-0.260828275,-290.3018701,9145.663333
6/27/2020 21:15,839,-0.118440068,-99.37121705,9001.783333
6/28/2020 23:15,759,-0.039702765,-30.13439864,9124.516667
6/29/2020 22:00,1212,-0.130878582,-158.6248414,9184.84
6/30/2020 20:45,787,-0.141316057,-111.2157369,9143.843333
7/1/2020 22:45,614,-0.17120441,-105.1195077,9238.59
7/2/2020 21:30,1072,-0.240388851,-257.6968483,9102.1
7/3/2020 23:30,424,-0.243068206,-103.0609193,9077.576667
7/4/2020 22:15,579,-0.173425173,-100.4131752,9128.47
